EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,SupervisorID,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3427,Uriah,Bridges,2020-08-16,,Production Technician I,Ariana Strickland,2294,uriah.bridges@bilearner.com,CCDR,Active,Full-Time,Zone C,Full-Time,Production,Production Operations,1969-10-07,MA,Female,US-MA-01,White,Widowed,Fully Meets,3
3428,Paula,Small,2020-06-12,,Production Technician I,Julianne Shaw,2414,paula.small@bilearner.com,EW,Active,Part-Time,Zone C,Part-Time,Production,Production Operations,1965-08-30,MA,Male,US-MA-02,Hispanic,Widowed,Fully Meets,3
3429,Edward,Buck,2011-05-06,,Area Sales Manager,Luciana Steele,2688,edward.buck@bilearner.com,PL,Active,Full-Time,Zone A,Full-Time,Sales,Sales & Marketing,1991-10-06,MA,Male,US-MA-03,Hispanic,Widowed,Fully Meets,3
3430,Michael,Riordan,2018-06-10,,Area Sales Manager,Maxim Mooney,2734,michael.riordan@bilearner.com,CCDR,Active,Full-Time,Zone B,Full-Time,Sales,Sales & Marketing,1998-04-04,ND,Male,US-ND-01,Other,Single,Fully Meets,4
3431,Jasmine,Onque,2014-06-27,,Area Sales Manager,Maruk Fraval,3432,jasmine.onque@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Sales,Sales & Marketing,1969-08-29,FL,Female,US-FL-01,Other,Married,Fully Meets,3
3432,Maruk,Fraval,2006-01-23,,Area Sales Manager,Marlon Ford,3532,maruk.fraval@bilearner.com,BPC,Active,Full-Time,Zone A,Full-Time,Sales,Sales & Marketing,1969-09-27,CT,Male,US-CT-01,Black,Married,Fully Meets,3
3433,Latia,Costa,2016-11-07,2017-08-03,Area Sales Manager,Ryann Rubio,3545,latia.costa@bilearner.com,WBL,Voluntarily Terminated,Full-Time,Zone B,Full-Time,Sales,Sales & Marketing,1975-11-11,CA,Female,US-CA-01,Hispanic,Divorced,Exceeds,5
3434,Sharlene,Terry,2015-05-31,2017-03-21,Area Sales Manager,Willie Patterson,3488,sharlene.terry@bilearner.com,CCDR,Voluntarily Terminated,Full-Time,Zone B,Full-Time,Sales,Sales & Marketing,1957-03-07,OR,Female,US-OR-01,White,Divorced,Fully Meets,3
3435,Jac,McKinzie,2005-03-25,,Area Sales Manager,Kimora Parsons,3487,jac.mckinzie@bilearner.com,NEL,Active,Full-Time,Zone A,Full-Time,Sales,Sales & Marketing,1974-05-15,TX,Male,US-TX-01,Black,Widowed,Exceeds,5
3436,Joseph,Martins,2008-01-07,2015-12-06,Area Sales Manager,Harley Greer,2745,joseph.martins@bilearner.com,BPC,Retired,Full-Time,Zone B,Full-Time,Sales,Sales & Marketing,1949-11-11,TX,Male,US-TX-02,Asian,Widowed,Fully Meets,3
3437,Myriam,Givens,2025-11-09,,Area Sales Manager,Arely Patton,3474,myriam.givens@bilearner.com,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Sales & Marketing,1964-01-26,IN,Female,US-IN-01,Other,Single,Fully Meets,3
3438,Dheepa,Nguyen,2009-12-03,2013-01-27,Area Sales Manager,Kimora Parsons,3487,dheepa.nguyen@bilearner.com,MSC,Retired,Full-Time,Zone B,Full-Time,Sales,Sales & Marketing,1948-04-06,GA,Female,US-GA-01,Asian,Married,Fully Meets,4
3439,Bartholemew,Khemmich,2019-12-28,2020-12-04,Area Sales Manager,Madalyn Prince,2718,bartholemew.khemmich@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone B,Full-Time,Sales,Sales & Marketing,1981-11-24,CO,Male,US-CO-01,Other,Single,Fully Meets,3
